ward_2022,group,count_2020
Franklin - C 015B,vap,418
Franklin - C 015B,vap_aian,2
Franklin - C 015B,vap_asian,32
Franklin - C 015B,vap_black,7
Franklin - C 015B,vap_hisp,32
Franklin - C 015B,vap_nhpi,0
Franklin - C 015B,vap_other,3
Franklin - C 015B,vap_two,4
Franklin - C 015B,vap_white,338
Franklin - C 015C,vap,693
Franklin - C 015C,vap_aian,6
Franklin - C 015C,vap_asian,46
Franklin - C 015C,vap_black,9
Franklin - C 015C,vap_hisp,45
Franklin - C 015C,vap_nhpi,0
Franklin - C 015C,vap_other,1
Franklin - C 015C,vap_two,17
Franklin - C 015C,vap_white,569
Glendale - C 0001,vap,1096
Glendale - C 0001,vap_aian,4
Glendale - C 0001,vap_asian,78
Glendale - C 0001,vap_black,186
Glendale - C 0001,vap_hisp,45
Glendale - C 0001,vap_nhpi,0
Glendale - C 0001,vap_other,2
Glendale - C 0001,vap_two,27
Glendale - C 0001,vap_white,754
Glendale - C 0002,vap,948
Glendale - C 0002,vap_aian,1
Glendale - C 0002,vap_asian,11
Glendale - C 0002,vap_black,136
Glendale - C 0002,vap_hisp,31
Glendale - C 0002,vap_nhpi,0
Glendale - C 0002,vap_other,3
Glendale - C 0002,vap_two,39
Glendale - C 0002,vap_white,727
Glendale - C 0003,vap,693
Glendale - C 0003,vap_aian,3
Glendale - C 0003,vap_asian,26
Glendale - C 0003,vap_black,45
Glendale - C 0003,vap_hisp,30
Glendale - C 0003,vap_nhpi,0
Glendale - C 0003,vap_other,0
Glendale - C 0003,vap_two,26
Glendale - C 0003,vap_white,563
Glendale - C 0004,vap,1153
Glendale - C 0004,vap_aian,4
Glendale - C 0004,vap_asian,40
Glendale - C 0004,vap_black,131
Glendale - C 0004,vap_hisp,51
Glendale - C 0004,vap_nhpi,0
Glendale - C 0004,vap_other,9
Glendale - C 0004,vap_two,37
Glendale - C 0004,vap_white,881
Glendale - C 0005,vap,1167
Glendale - C 0005,vap_aian,1
Glendale - C 0005,vap_asian,57
Glendale - C 0005,vap_black,277
Glendale - C 0005,vap_hisp,23
Glendale - C 0005,vap_nhpi,0
Glendale - C 0005,vap_other,4
Glendale - C 0005,vap_two,23
Glendale - C 0005,vap_white,782
Glendale - C 0006,vap,717
Glendale - C 0006,vap_aian,0
Glendale - C 0006,vap_asian,12
Glendale - C 0006,vap_black,223
Glendale - C 0006,vap_hisp,40
Glendale - C 0006,vap_nhpi,0
Glendale - C 0006,vap_other,6
Glendale - C 0006,vap_two,22
Glendale - C 0006,vap_white,414
Glendale - C 0007,vap,702
Glendale - C 0007,vap_aian,2
Glendale - C 0007,vap_asian,40
Glendale - C 0007,vap_black,64
Glendale - C 0007,vap_hisp,33
Glendale - C 0007,vap_nhpi,3
Glendale - C 0007,vap_other,3
Glendale - C 0007,vap_two,13
Glendale - C 0007,vap_white,544
Glendale - C 0008,vap,953
Glendale - C 0008,vap_aian,0
Glendale - C 0008,vap_asian,31
Glendale - C 0008,vap_black,80
Glendale - C 0008,vap_hisp,37
Glendale - C 0008,vap_nhpi,0
Glendale - C 0008,vap_other,8
Glendale - C 0008,vap_two,23
Glendale - C 0008,vap_white,774
Glendale - C 0009,vap,1180
Glendale - C 0009,vap_aian,4
Glendale - C 0009,vap_asian,79
Glendale - C 0009,vap_black,182
Glendale - C 0009,vap_hisp,65
Glendale - C 0009,vap_nhpi,1
Glendale - C 0009,vap_other,4
Glendale - C 0009,vap_two,55
Glendale - C 0009,vap_white,790
Glendale - C 0010,vap,649
Glendale - C 0010,vap_aian,0
Glendale - C 0010,vap_asian,13
Glendale - C 0010,vap_black,103
Glendale - C 0010,vap_hisp,16
Glendale - C 0010,vap_nhpi,0
Glendale - C 0010,vap_other,0
Glendale - C 0010,vap_two,6
Glendale - C 0010,vap_white,511
Glendale - C 0011,vap,661
Glendale - C 0011,vap_aian,1
Glendale - C 0011,vap_asian,37
Glendale - C 0011,vap_black,82
Glendale - C 0011,vap_hisp,29
